f0x,f0y,f1x,f1y,f2x,f2y,f3x,f3y,roll,pitch,label
-33.56,6.07,-13.19,-4.59,17.38,25.74,-8.01,12.51,-33.79,9.38,6
-33.56,6.07,-8.13,-3.71,17.38,25.74,-8.01,12.51,-35.41,9.56,6
-33.56,6.07,-8.13,-3.71,21.73,28.47,-8.01,12.51,-36.34,9.34,6
-33.56,6.07,-8.13,-3.71,21.73,28.47,-6.94,11.37,-37.51,9.27,6
-31.82,3.78,-8.13,-3.71,21.73,28.47,-6.94,11.37,-37.5,8.31,6
-31.82,3.78,-11.39,-5.31,21.73,28.47,-6.94,11.37,-36.92,8.8,6
-31.82,3.78,-11.39,-5.31,19.97,26.69,-6.94,11.37,-35.19,9.68,6
-31.82,3.78,-11.39,-5.31,19.97,26.69,-6.59,11.98,-34.6,10.19,6
-35.26,3.81,-11.39,-5.31,19.97,26.69,-6.59,11.98,-33.95,9.59,6
-35.26,3.81,-13.88,-7.2,19.97,26.69,-6.59,11.98,-33.44,9.46,6
-35.26,3.81,-13.88,-7.2,16.47,26.2,-6.59,11.98,-32.63,9.14,6
-35.26,3.81,-13.88,-7.2,16.47,26.2,-8.79,11.78,-31.01,8.85,6
-38.03,7.19,-13.88,-7.2,16.47,26.2,-8.79,11.78,-30.35,8.37,6
-38.03,7.19,-15.82,-2.89,16.47,26.2,-8.79,11.78,-30.04,8.16,6
-38.03,7.19,-15.82,-2.89,14.88,25.95,-8.79,11.78,-30.21,8.25,6
-38.03,7.19,-15.82,-2.89,14.88,25.95,-8.79,10.4,-30.6,8.21,6
-39.29,4.53,-15.82,-2.89,14.88,25.95,-8.79,10.4,-31.27,8.36,6
-39.29,4.53,-16.02,-6.85,14.88,25.95,-8.79,10.4,-30.66,8.68,6
-39.29,4.53,-16.02,-6.85,14.78,28.19,-8.79,10.4,-30.39,8.44,6
-39.29,4.53,-16.02,-6.85,14.78,28.19,-10.1,9.91,-30.2,8.32,6
-37.99,6.19,-16.02,-6.85,14.78,28.19,-10.1,9.91,-30.22,8.5,6
-37.99,6.19,-17.79,-5.47,14.78,28.19,-10.1,9.91,-29.22,8.59,6
-37.99,6.19,-17.79,-5.47,13.19,24.16,-10.1,9.91,-28.64,9.46,6
-37.99,6.19,-17.79,-5.47,13.19,24.16,-10.3,13.9,-28.04,9.86,6
-40.32,11.35,-19.05,-0.95,9.1,26.46,-10.3,13.9,-25.36,10.12,6
-40.32,11.35,-19.05,-0.95,9.1,26.46,-12.03,13.88,-24.93,11.27,6
-43.09,10.78,-19.05,-0.95,9.1,26.46,-12.03,13.88,-24.57,11.74,6
-43.09,10.78,-21.59,4.31,9.1,26.46,-12.03,13.88,-24.25,13.05,6
-43.09,10.78,-21.59,4.31,7.14,29.06,-12.03,13.88,-23.35,14.41,6
-43.09,10.78,-21.59,4.31,7.14,29.06,-18.49,10.25,-21.23,13.65,6
-45.71,10.96,-21.59,4.31,7.14,29.06,-18.49,10.25,-19.93,12.73,6
-45.71,10.96,-25.3,0.3,7.14,29.06,-18.49,10.25,-18.16,11.96,6
-45.71,10.96,-25.3,0.3,5.57,23.07,-18.49,10.25,-16.84,11.54,6
-45.71,10.96,-25.3,0.3,5.57,23.07,-18.69,13.17,-16.34,11.23,6
